,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,W,3,0,Southampton,47,505,55,154,268,89,15,505,14,15,93.3,20,6,218,10,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Away,L,1,2,Arsenal,33,411,57,120,136,158,34,411,4,10,40.0,12,6,171,12,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,D,1,1,Wolves,35,456,64,143,208,109,19,456,5,10,50.0,14,4,218,23,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Home,L,0,3,Liverpool,37,459,62,149,228,88,8,459,6,10,60.0,14,7,212,16,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,D,1,1,Brighton,38,461,66,149,213,106,8,461,5,12,41.7,15,14,207,18,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,2,0,Norwich City,42,515,44,113,237,168,23,515,7,13,53.8,11,13,301,31,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Aston Villa,40,412,59,121,215,81,13,412,4,11,36.4,9,7,197,21,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,1,0,Everton,42,490,57,151,240,103,21,490,5,10,50.0,9,4,245,18,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Leicester City,37,473,52,115,213,147,13,473,5,14,35.7,6,13,250,22,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Home,L,2,4,Chelsea,37,538,43,112,299,136,20,538,11,15,73.3,17,9,300,22,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,55,603,55,177,303,125,11,603,2,7,28.6,14,12,374,26,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,3,0,West Ham,41,469,50,112,242,120,18,469,14,25,56.0,13,3,230,18,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,3,0,Watford,38,390,72,144,160,89,15,389,8,11,72.7,11,8,175,7,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,2,Crystal Palace,44,515,48,124,280,115,23,515,9,13,69.2,15,11,256,17,Match Report
14,2019-12-03,20:15 (22:15),Matchweek 15,Tue,Home,L,1,4,Manchester City,25,397,75,142,174,83,12,397,4,9,44.4,23,3,183,13,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,L,0,5,Tottenham,51,635,52,163,351,129,13,635,11,24,45.8,22,6,400,22,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,W,1,0,Newcastle Utd,48,520,47,140,293,99,14,520,8,18,44.4,16,7,294,22,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,1,0,Bournemouth,37,388,55,130,177,81,7,388,0,7,0.0,13,8,165,14,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,0,1,Everton,33,393,69,155,174,66,8,393,2,5,40.0,10,2,169,6,Match Report
19,2019-12-28,19:45 (21:45),Matchweek 20,Sat,Home,L,0,2,Manchester Utd,39,428,54,154,195,86,17,428,7,8,87.5,12,5,222,10,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Home,L,1,2,Aston Villa,62,678,42,115,367,199,30,678,3,8,37.5,13,8,449,31,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,L,0,3,Chelsea,35,441,74,168,196,80,6,441,10,11,90.9,12,12,224,8,Match Report
22,2020-01-19,14:00 (16:00),Matchweek 23,Sun,Home,W,2,1,Leicester City,45,573,70,181,281,117,14,573,13,26,50.0,13,10,321,23,Match Report
23,2020-01-22,20:15 (22:15),Matchweek 24,Wed,Away,W,2,0,Manchester Utd,28,409,74,169,141,106,8,409,1,4,25.0,11,7,176,9,Match Report
24,2020-02-02,14:00 (16:00),Matchweek 25,Sun,Home,D,0,0,Arsenal,44,491,46,91,261,144,25,491,7,13,53.8,12,11,279,24,Match Report
25,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
27,2020-02-15,12:30 (14:30),Matchweek 26,Sat,Away,W,2,1,Southampton,38,482,62,155,238,94,12,481,9,16,56.3,17,4,213,15,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,3,0,Bournemouth,42,471,49,135,217,126,20,470,7,13,53.8,12,6,222,26,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,D,0,0,Newcastle Utd,46,493,67,131,264,104,10,493,7,12,58.3,21,14,235,22,Match Report
30,2020-03-07,17:30 (19:30),Matchweek 29,Sat,Home,D,1,1,Tottenham,46,584,53,154,295,138,29,584,12,17,70.6,24,9,311,35,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Away,L,0,5,Manchester City,29,411,62,181,181,53,3,411,8,14,57.1,12,6,256,7,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,W,1,0,Watford,54,577,58,195,283,101,15,577,4,12,33.3,9,8,321,18,Match Report
33,2020-06-29,20:00 (21:00),Matchweek 32,Mon,Away,W,1,0,Crystal Palace,41,512,64,182,230,102,9,512,9,17,52.9,7,5,285,14,Match Report
34,2020-07-05,12:00 (13:00),Matchweek 33,Sun,Home,D,1,1,Sheffield Utd,48,579,65,207,256,119,13,579,5,9,55.6,16,8,324,12,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,W,1,0,West Ham,47,573,93,209,241,128,18,573,8,14,57.1,13,13,325,16,Match Report
36,2020-07-11,15:00 (16:00),Matchweek 35,Sat,Away,D,1,1,Liverpool,29,412,101,214,124,79,10,412,4,8,50.0,9,6,167,4,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,D,1,1,Wolves,47,502,59,146,255,105,18,501,3,7,42.9,10,5,271,15,Match Report
38,2020-07-18,17:30 (18:30),Matchweek 37,Sat,Away,W,2,0,Norwich City,58,612,26,90,278,251,36,612,4,5,80.0,7,5,434,41,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,2,Brighton,55,538,39,133,259,149,26,538,1,1,100.0,15,6,322,22,Match Report
40,,,,,,15-9-14,43,50,,41.9,18796,2240,5624,8973,4373,614,18792,246,454,54.2,509,291,9922,690,
