,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2020-09-12,17:30 (18:30),Matchweek 1,Sat,Away,L,3,4,Liverpool,509,452,52,10,1,5,9,25,0,0,0,0,382,5,6,Match Report
1,2020-09-19,15:00 (16:00),Matchweek 2,Sat,Home,W,4,3,Fulham,503,436,64,15,2,4,20,31,5,0,4,0,373,3,16,Match Report
2,2020-09-27,12:00 (13:00),Matchweek 3,Sun,Away,W,1,0,Sheffield Utd,642,579,62,20,1,8,25,28,7,4,1,0,515,1,9,Match Report
3,2020-10-03,17:30 (18:30),Matchweek 4,Sat,Home,D,1,1,Manchester City,468,412,54,14,0,5,13,17,7,3,2,0,381,2,4,Match Report
4,2020-10-19,20:00 (21:00),Matchweek 5,Mon,Home,L,0,1,Wolves,615,564,50,14,2,8,37,19,8,4,2,0,491,1,3,Match Report
5,2020-10-23,20:00 (21:00),Matchweek 6,Fri,Away,W,3,0,Aston Villa,500,447,53,13,0,8,20,28,5,3,0,0,402,0,8,Match Report
6,2020-11-02,20:00 (22:00),Matchweek 7,Mon,Home,L,1,4,Leicester City,698,648,48,5,2,8,25,26,10,0,8,0,574,2,10,Match Report
7,2020-11-07,15:00 (17:00),Matchweek 8,Sat,Away,L,1,4,Crystal Palace,654,606,47,9,0,12,23,22,6,0,6,0,527,1,10,Match Report
8,2020-11-22,16:30 (18:30),Matchweek 9,Sun,Home,D,0,0,Arsenal,655,618,37,10,0,2,27,16,5,1,2,0,544,0,3,Match Report
9,2020-11-28,17:30 (19:30),Matchweek 10,Sat,Away,W,1,0,Everton,603,552,45,10,0,8,16,24,2,0,2,0,496,6,10,Match Report
10,2020-12-05,20:00 (22:00),Matchweek 11,Sat,Away,L,1,3,Chelsea,528,474,50,13,1,4,14,21,4,0,3,0,423,4,7,Match Report
11,2020-12-11,20:00 (22:00),Matchweek 12,Fri,Home,L,1,2,West Ham,601,557,42,9,0,4,27,17,5,1,3,0,498,2,10,Match Report
12,2020-12-16,18:00 (20:00),Matchweek 13,Wed,Home,W,5,2,Newcastle Utd,595,541,50,15,1,5,36,17,7,5,1,0,476,4,14,Match Report
13,2020-12-20,16:30 (18:30),Matchweek 14,Sun,Away,L,2,6,Manchester Utd,547,489,54,8,1,9,35,22,13,6,7,0,432,4,16,Match Report
14,2020-12-27,12:00 (14:00),Matchweek 15,Sun,Home,W,1,0,Burnley,465,415,47,15,1,2,12,18,4,3,0,0,342,3,11,Match Report
15,2020-12-29,18:00 (20:00),Matchweek 16,Tue,Away,W,5,0,West Brom,815,777,37,8,1,10,28,13,10,6,3,0,708,1,7,Match Report
16,2021-01-02,12:30 (14:30),Matchweek 17,Sat,Away,L,0,3,Tottenham,640,586,53,15,0,6,24,20,5,1,4,0,526,1,14,Match Report
17,2021-01-16,15:00 (17:00),Matchweek 19,Sat,Home,L,0,1,Brighton,664,614,47,9,0,3,29,21,5,1,3,0,533,3,13,Match Report
18,2021-01-26,18:00 (20:00),Matchweek 20,Tue,Away,W,2,1,Newcastle Utd,492,436,56,11,0,4,11,26,4,3,1,0,361,0,9,Match Report
19,2021-01-31,14:00 (16:00),Matchweek 21,Sun,Away,W,3,1,Leicester City,433,379,52,19,2,0,9,20,4,4,0,0,310,2,9,Match Report
20,2021-02-03,19:30 (21:30),Matchweek 22,Wed,Home,L,1,2,Everton,616,564,52,13,0,2,25,25,7,6,0,0,498,0,18,Match Report
21,2021-02-08,20:00 (22:00),Matchweek 23,Mon,Home,W,2,0,Crystal Palace,760,725,34,8,0,0,15,17,5,4,0,0,662,1,7,Match Report
22,2021-02-14,16:30 (18:30),Matchweek 24,Sun,Away,L,2,4,Arsenal,540,498,42,10,0,2,17,18,5,2,3,0,419,0,9,Match Report
23,2021-02-19,20:00 (22:00),Matchweek 25,Fri,Away,L,0,1,Wolves,487,436,50,14,0,9,22,19,9,4,4,0,387,1,9,Match Report
24,2021-02-23,18:00 (20:00),Matchweek 18,Tue,Home,W,3,0,Southampton,361,314,46,14,1,2,8,20,2,1,0,0,247,1,8,Match Report
25,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2021-02-27,17:30 (19:30),Matchweek 26,Sat,Home,L,0,1,Aston Villa,579,519,60,14,0,9,27,32,7,3,2,0,448,0,11,Match Report
28,2021-03-08,20:00 (22:00),Matchweek 27,Mon,Away,L,0,2,West Ham,580,531,48,10,1,7,20,23,6,4,2,0,476,1,8,Match Report
29,2021-03-13,12:30 (14:30),Matchweek 28,Sat,Home,D,0,0,Chelsea,394,342,47,9,0,2,22,21,8,2,6,0,280,5,13,Match Report
30,2021-03-19,20:00 (22:00),Matchweek 29,Fri,Away,W,2,1,Fulham,380,325,51,12,1,4,19,25,7,1,4,1,258,4,10,Match Report
31,2021-04-03,15:00 (16:00),Matchweek 30,Sat,Home,W,2,1,Sheffield Utd,534,487,46,13,0,7,16,21,5,3,1,0,413,1,10,Match Report
32,2021-04-10,12:30 (13:30),Matchweek 31,Sat,Away,W,2,1,Manchester City,281,233,45,14,1,2,9,9,3,1,2,0,187,3,5,Match Report
33,2021-04-19,20:00 (21:00),Matchweek 32,Mon,Home,D,1,1,Liverpool,577,517,60,18,3,10,26,18,10,9,0,0,470,0,13,Match Report
34,2021-04-25,14:00 (15:00),Matchweek 33,Sun,Home,D,0,0,Manchester Utd,426,384,40,11,0,6,13,18,2,2,0,0,323,2,5,Match Report
35,2021-05-01,15:00 (16:00),Matchweek 34,Sat,Away,L,0,2,Brighton,531,460,70,17,0,5,29,28,9,7,0,0,421,1,12,Match Report
36,2021-05-08,12:30 (13:30),Matchweek 35,Sat,Home,W,3,1,Tottenham,497,447,49,12,0,6,28,21,8,6,0,0,383,1,13,Match Report
37,2021-05-15,12:30 (13:30),Matchweek 36,Sat,Away,W,4,0,Burnley,491,442,43,11,1,9,21,12,8,6,0,0,363,6,2,Match Report
38,2021-05-18,18:00 (19:00),Matchweek 37,Tue,Away,W,2,0,Southampton,426,363,62,12,3,6,12,32,4,2,2,0,315,1,16,Match Report
39,2021-05-23,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,West Brom,542,489,50,13,1,2,17,19,8,7,0,0,440,3,6,Match Report
40,,,,,,18-5-15,62,54,,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364,
