,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Home,L,0,5,Manchester City,9,4,2,0,1,2,0,0,0,0,0,0,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,D,1,1,Brighton,13,8,0,4,0,0,1,3,1,0,1,0,0,1,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,3,1,Watford,31,21,4,1,4,1,0,5,2,0,1,1,1,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,2,0,Norwich City,34,24,2,3,4,0,1,4,3,0,1,0,0,0,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Away,D,0,0,Aston Villa,23,22,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,W,2,0,Manchester Utd,15,9,1,1,0,3,1,4,3,0,0,0,1,0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Bournemouth,32,25,2,1,2,1,1,4,4,0,0,0,0,0,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Home,L,1,2,Crystal Palace,16,13,1,0,0,2,0,2,2,0,0,0,0,0,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Away,L,0,2,Everton,14,10,1,0,1,2,0,0,0,0,0,0,0,0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,D,1,1,Sheffield Utd,23,17,2,1,1,1,1,1,1,0,0,0,0,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,2,3,Newcastle Utd,31,19,6,2,2,0,2,3,2,0,0,1,0,0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,0,3,Burnley,14,14,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Home,L,2,3,Tottenham,21,13,3,2,1,2,0,3,1,1,0,1,0,0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,1,0,Chelsea,10,6,2,0,1,0,1,2,2,0,0,0,0,0,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,0,2,Wolves,10,9,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
15,2019-12-09,20:00 (22:00),Matchweek 16,Mon,Home,L,1,3,Arsenal,17,14,0,0,0,1,2,2,2,0,0,0,0,0,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Away,W,1,0,Southampton,20,14,3,0,2,1,0,2,2,0,0,0,0,0,Match Report
17,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,1,2,Crystal Palace,18,13,2,1,0,1,1,2,1,0,1,0,0,0,Match Report
18,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Home,L,1,2,Leicester City,25,18,4,1,1,0,1,2,2,0,0,0,0,0,Match Report
19,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,4,0,Bournemouth,27,19,2,2,1,3,0,8,6,0,1,0,1,0,Match Report
20,2020-01-10,20:00 (22:00),Matchweek 22,Fri,Away,L,0,1,Sheffield Utd,10,4,2,2,0,2,0,0,0,0,0,0,0,0,Match Report
21,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Everton,22,18,2,1,0,1,0,2,0,1,0,0,1,0,Match Report
22,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Away,L,1,4,Leicester City,10,4,3,0,1,2,0,2,0,0,0,0,2,0,Match Report
23,2020-01-29,19:45 (21:45),Matchweek 18,Wed,Home,L,0,2,Liverpool,12,5,2,0,1,2,2,0,0,0,0,0,0,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,3,3,Brighton,22,12,3,3,1,3,0,5,2,1,0,1,1,0,Match Report
25,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-19,19:30 (21:30),Matchweek 26,Wed,Away,L,0,2,Manchester City,8,2,1,1,0,1,3,0,0,0,0,0,0,0,Match Report
28,2020-02-24,20:00 (22:00),Matchweek 27,Mon,Away,L,2,3,Liverpool,13,9,2,0,1,1,0,4,3,1,0,0,0,0,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,W,3,1,Southampton,20,18,2,0,0,0,0,6,6,0,0,0,0,0,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,L,0,1,Arsenal,23,15,1,2,3,1,1,0,0,0,0,0,0,0,Match Report
31,2020-06-20,17:30 (18:30),Matchweek 30,Sat,Home,L,0,2,Wolves,10,7,1,2,0,0,0,0,0,0,0,0,0,0,Match Report
32,2020-06-23,20:15 (21:15),Matchweek 31,Tue,Away,L,0,2,Tottenham,17,10,3,1,1,1,1,0,0,0,0,0,0,0,Match Report
33,2020-07-01,20:15 (21:15),Matchweek 32,Wed,Home,W,3,2,Chelsea,17,12,1,1,0,1,2,5,4,1,0,0,0,0,Match Report
34,2020-07-05,14:15 (15:15),Matchweek 33,Sun,Away,D,2,2,Newcastle Utd,29,21,3,1,4,0,0,3,2,0,0,1,0,0,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,L,0,1,Burnley,34,23,2,2,4,1,2,0,0,0,0,0,0,0,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Away,W,4,0,Norwich City,35,23,5,1,2,4,0,7,3,2,0,1,1,0,Match Report
37,2020-07-17,20:00 (21:00),Matchweek 36,Fri,Home,W,3,1,Watford,17,12,0,4,0,1,0,6,6,0,0,0,0,0,Match Report
38,2020-07-22,18:00 (19:00),Matchweek 37,Wed,Away,D,1,1,Manchester Utd,22,11,4,1,4,2,0,1,0,0,0,1,0,0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,D,1,1,Aston Villa,18,12,2,1,0,3,0,2,2,0,0,0,0,0,Match Report
40,,,,,,10-9-19,49,62,,742,510,77,42,43,47,23,90,62,7,5,7,8,1,
